chr,start,end,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
chr1,2295195,3083063,-0.484812465,0.172464561,0.266531228,-0.531267088,0.759170815,-0.575078225,0.080949378,-0.494461697,-0.29973708,-0.597559133
chr1,3975768,8879551,-0.045034552,0.470730281,-0.045996451,0.374389658,-0.383548629,0.479133485,0.564360288,-0.162007045,0.61211199,-0.262249263
chr1,9478947,9487269,-0.028582305,0.470303256,0.636465184,0.59198785,-0.595985745,-0.04395671,0.258608232,-0.64441618,-0.177679505,-0.549150564
chr1,11434114,14148823,-0.173089416,0.250941305,-0.809614275,-0.800716701,-0.164482793,-0.266303469,0.16216682,-0.03027188,0.978235407,0.105648761
chr1,14501823,15164953,-0.503141308,-0.347033511,0.286263166,0.920059295,-0.749836661,-0.317272342,0.155073187,0.083892493,-0.503004969,-0.325833206
chr1,16086877,16442654,0.02615617,1.318985689,-0.286387928,-0.297233903,-0.180611999,-0.063759242,-0.515597797,0.053367315,0.058297668,-0.324602787
chr1,22154288,23591153,0.931554741,-0.005865368,1.107767662,0.100112673,-0.091030027,0.234327456,0.642766744,0.304325193,0.429543834,0.746759132
chr1,23766986,24884045,0.569115127,-0.30025482,1.004060225,-0.099349736,-0.235193797,-0.402271614,-1.132177778,-0.70505808,-0.220244208,0.312756416
chr1,28240064,28705173,-1.034231971,-0.009866778,-0.351573026,0.891216676,0.076347182,0.303335824,-0.249259446,-0.503457371,-0.260876396,0.350841285
chr1,28784601,30427400,-0.025374864,-0.156497599,-0.105148058,0.435502846,-0.087851736,0.044843369,-1.113439902,-0.057773981,-0.086971482,-0.790783736
chr1,31772241,34322834,0.338317971,-0.136172487,0.277579215,0.003425657,-1.731159962,0.098045051,0.078506653,0.213876046,0.453951147,-0.095493975
chr1,35539072,39934692,-0.657243185,0.80397134,-0.54709469,-0.096507315,-0.378182641,0.144507337,-0.029655473,0.887546176,0.514292603,0.196148134
chr1,40266405,40568693,-0.156680187,-0.886231233,0.56873762,0.496701572,-0.142150786,0.126554635,-0.081158719,0.205695962,-0.645592873,0.144959174
chr1,41765337,42343002,-0.528748176,0.223794994,-0.377244928,0.072396762,0.0282662,0.153331122,-0.957452009,0.456151028,0.376319685,-0.278921054
chr1,44008403,44045381,0.092960468,0.818336088,0.181716747,-0.632500961,0.407130057,0.572195257,-0.009763392,-0.391152829,0.918561242,0.124039064
chr1,45102912,49334848,0.062810676,-0.33125846,-0.068578246,-0.233351987,-0.135918933,0.57891899,-0.62457675,1.014046571,-0.460032279,0.271982701
chr1,53252473,53779563,-0.089609199,0.310710449,-0.242484991,0.526517298,0.543819723,0.219708612,-0.488800777,0.377579848,-0.227285021,0.351053633
chr1,54162832,55553144,0.594645109,-0.005182239,1.131666289,0.622655706,1.186103959,-0.450037376,-0.543428736,0.342174044,0.497429769,0.55485183
chr1,57366750,57864968,0.274916047,-0.229803132,0.348310392,0.845488593,-0.311448327,-0.104280039,-0.353087223,-0.034062563,-0.173573353,0.382265293
chr1,58429284,58684592,0.533075523,-0.339616682,-0.180439062,-0.326897103,0.40776187,-0.529208013,0.02518454,-0.122666593,0.031295288,-0.215589455
chr1,58711533,62603823,0.109433913,-0.607760559,0.171201178,0.142377101,0.171825846,0.107778243,0.012012683,-1.081287289,0.219372981,-0.577461893
chr1,64827165,67313897,-0.231462231,0.05819117,0.923551894,0.943456319,-0.040084311,-0.142309298,0.146531376,-0.04543477,-0.557702505,-1.101632996
chr1,67379682,69567221,-0.378103333,0.055900055,-1.080554828,-0.356472248,-0.106683105,0.454610167,-0.479092164,-0.16390607,-0.453855486,-0.049475437
chr1,69880783,72041174,0.550694343,0.307382624,-0.492261428,-0.061932942,-0.041572946,-0.373338448,0.05060193,-0.2984518,0.173049253,-0.654116944
chr1,75872219,80273966,0.323115045,0.489116449,-0.562255139,0.209718305,0.224510043,0.080028935,0.249172381,-0.830485794,0.173482864,0.384176133
chr1,81054002,81122551,0.066017307,0.715987387,-0.00375721,0.531358779,-0.712056061,-0.126311693,0.463913328,1.008117505,-0.168787313,0.026157759
chr1,83663064,84595834,-0.399109295,-0.794155572,0.164535399,-0.047409965,-0.387529389,0.497743844,-0.38636042,-0.071837457,0.746857802,0.603386433
chr1,87124945,87201682,-0.948159208,0.207031375,-0.288653533,0.297974113,-0.223959032,-0.295981197,0.502377288,0.684852718,0.779198605,-0.330043532
chr1,88319817,88392903,0.051388353,0.062969907,0.472378845,-0.141563811,0.598530075,-0.311288723,0.543951302,-0.578538333,-0.028597285,0.596975925
chr1,91629256,92201075,0.658793908,0.50880598,0.710582144,-0.306558689,-0.821597466,0.485131085,0.067103913,0.326779024,-1.166682164,1.258749863
chr1,94510453,95202603,-0.925850203,0.470492041,-0.340622213,1.183549784,0.271245714,-0.118240248,0.365051597,0.081731386,-0.332466781,0.18886098
chr1,96317782,96324591,-0.033191681,0.535727667,-0.979761658,-0.099087973,0.060689668,0.646313159,0.164939203,0.381592827,-0.285666965,0.291500604
chr1,99526383,100364085,1.364212037,-0.277452718,0.407388501,-0.168900308,-0.500354434,-0.146255044,0.119938435,0.126100398,-0.001511496,-0.348005603
chr1,101076878,104292127,0.735416673,0.120369415,-0.244737016,0.074522938,0.721492353,-0.233930925,-0.215163783,0.128179997,-0.655234959,-0.247707428
chr1,104834265,105934509,-0.005988086,-0.343694753,-0.558759612,-0.327538107,0.532801512,0.562787015,-0.651597029,0.365766334,-0.142623384,0.386760897
chr1,106834356,107710113,-0.032895639,-0.058335587,0.517057078,0.002157481,0.403880667,-0.512926059,0.745579359,-0.412915936,0.294319405,0.056012073
chr1,108425898,112333099,0.861299341,0.44836938,0.169285493,0.132270221,-0.491102063,-0.162683758,-0.454001957,-0.579084053,-0.844553469,0.491496175
chr1,113379291,115833082,0.236563149,-0.270056557,-0.003178296,0.153979988,-0.410924934,-0.361318865,0.026741457,-0.010830799,-0.652873498,-0.512860438
chr1,122167132,125094270,0.067290119,0.285674428,-0.091422144,0.65837121,-0.369415382,0.040911149,0.78802038,-0.095292183,0.633489875,-0.026404298
chr1,125800709,126736663,0.388362345,-0.085347798,0.935304409,-0.161954449,-0.26877593,0.174427754,0.045554262,0.150681575,0.094636037,-1.031055035
chr1,127471919,130062200,-0.039538928,0.293342198,-0.408932763,-0.080670962,0.113340486,-0.044081355,-0.335966573,-0.153071839,-0.199733793,-1.103958701
chr1,130510032,132747775,0.398796579,0.156926946,-0.177603089,-0.203142217,0.519438095,-0.458091875,-0.173666538,-0.071365178,-0.721856284,-0.506753255
chr1,140848777,141491641,0.21988184,0.337316422,0.075515193,0.018340954,-0.374918472,0.547265362,0.310262435,-0.054879995,0.205568172,-0.551113795
chr1,143591115,143983136,0.261329346,0.150313422,-0.115567756,-0.088737461,0.478880531,0.379567891,-0.494502332,-0.391480704,0.171404554,0.81219506
chr1,144250394,144962731,-0.92123991,-0.642436484,0.114191045,0.901449225,0.113709185,0.069540918,0.045057764,0.371692662,0.152457551,0.109749295
chr1,145397232,147775627,0.27549874,0.198539125,-0.531905086,-0.095742618,0.144393352,-0.507723297,-0.365351508,-0.316333181,-0.418994939,0.264139195
chr1,151870122,151952176,-0.496135159,0.726379325,-0.185480309,0.325078798,-0.594194131,-0.718520186,-0.51484027,0.004829578,0.513332262,-0.350039116
chr1,153241127,153247544,-0.648944692,0.139892923,0.415606431,-0.58998511,0.873967812,-0.190679421,0.425326256,-0.087339222,-0.239683134,-0.350349744
chr1,158438775,159339162,-0.268348713,-0.308320912,0.074821619,0.504584281,0.075194216,0.123284971,0.765967256,0.132466897,0.512596723,-0.505219136
chr1,159427072,160464831,0.328689008,0.190869962,0.171409856,-0.343972293,-0.194601853,0.681497121,0.499953071,0.324990721,-0.22708258,-0.491932378
chr1,164446920,166027412,-0.602601602,0.251622087,0.234660323,0.301628151,-0.127483408,0.124939203,0.251639251,0.48410853,0.242737657,0.433435944
chr1,168495339,169345673,-0.319135381,0.685207994,-0.645630584,0.482728712,-0.556707052,0.170903859,-0.146775003,0.085466093,-0.463571292,0.093042033
chr1,172279181,172281950,-0.233417826,-0.105476156,-0.274715817,-0.53858673,-0.036365155,0.383270452,-0.181443791,0.704699754,0.058907085,-0.036012234
chr1,173352781,175949649,-0.311164518,0.234834034,0.010911205,0.257932755,-0.305887018,0.131598522,0.571878084,0.257249137,-0.63182848,0.535199103
chr1,176198147,176981693,0.420485413,0.633968095,0.396373422,0.186362838,-0.705537667,-0.028500948,0.443831597,-0.000510872,-0.224311209,-0.18026233
chr1,177648246,178347601,-0.281578147,0.053218544,0.093120386,-0.324974499,-0.181705772,0.390773308,-0.137108952,-0.198071038,-0.177935959,-0.414412506
chr1,178370234,178466151,-0.06450688,0.131502186,-0.118421179,-0.324507174,-0.457958286,-0.020284371,0.64954415,0.774795102,0.517875088,0.907890356
chr1,178574870,178995799,0.956371657,-0.277640529,-0.00976539,-0.427073364,0.20218944,0.334715408,-0.593703917,0.01303786,-0.094665353,0.436280602
chr1,180373345,180757050,0.476773685,-0.532553731,0.225029944,0.63050096,-0.43783381,0.128258395,0.345539379,-0.366059874,-0.229309116,-0.31421562
chr1,182918068,183209822,0.190553946,0.397515776,0.208819782,-0.216374513,-0.208374129,-0.328445168,-0.536413798,-0.172208028,0.499849499,0.389333469
chr1,184745739,184884278,-0.027149803,0.388729894,-0.534504121,-0.155617672,-0.2024635,-0.097366623,-0.500718757,0.101679455,-0.279359906,-0.106881633
chr1,189276344,190171476,-0.492143862,0.169028276,0.712242313,0.268549499,0.032205118,-0.240151839,-0.246794223,-0.183846383,0.418752292,-0.489226239
chr1,191812739,192045982,-0.120817318,-0.116838447,-0.11624969,-0.612639767,-0.188621562,0.112611959,-0.314534744,-0.087036866,-0.518615476,0.070230042
chr1,193942692,195644159,0.008873941,0.133686711,0.156816607,-0.308508293,0.034585109,-0.4176793,-0.088072826,-0.111766497,0.633285602,0.431589158
chr1,196136772,197188598,0.12126451,-0.385568186,-0.922118031,-0.166091332,-0.747607603,-0.873784925,-0.002871634,-0.334981905,0.71995416,-0.388038666
chr1,202391542,202926246,0.172467733,0.64942844,-0.532543886,-0.252051194,0.0980283,0.061362281,-0.075251337,0.481987528,0.232504336,-0.17829406
chr1,203624074,205846617,-0.938281715,-0.626653953,0.108168836,0.503608037,0.294610081,-0.289661001,0.239139923,-0.260907067,-0.394202887,0.502674005
chr1,206609204,209225632,0.194025224,-0.19621753,0.342959053,-0.439237115,0.221099415,0.353168462,-0.640633155,-0.008198486,-0.012081196,-0.169868047
chr1,209660483,210070837,0.0552162,-0.220336174,0.865391918,0.193626991,0.090634325,0.173332099,-0.300672719,-0.586624303,-0.799223583,-0.372016805
chr1,210183275,211030543,-0.036429986,-0.276153457,-0.140131639,0.74275122,-0.007660046,0.23915206,0.163035261,0.559422337,0.754985981,-0.563975745
chr1,212274559,214027811,0.306711196,0.081150257,0.002579566,0.180238772,0.176571102,0.213839795,-0.220454246,0.219089799,0.819333306,-0.134755285
chr1,219610484,219728960,-0.564446149,-0.410920631,0.47156676,0.704157517,0.091363469,0.668613102,0.788090012,-0.161667215,-0.521654817,-0.051356763
chr1,219882464,221075930,0.613853452,-0.567970032,-0.723265128,-0.750794221,0.728818647,-0.136115656,-0.235816925,-0.054681824,-0.418998749,0.524473399
chr1,221811270,222171617,0.410193337,0.444649207,0.45675941,0.299617408,-0.05226336,-0.269472376,1.055640798,-0.451404224,-0.835177789,-0.110957077
chr1,226927891,227270469,0.207008437,-0.160957422,-0.665440561,-0.238934036,0.030274089,0.576615076,-0.076409318,-0.010515926,0.986558019,-0.571009856
chr1,231153477,231240581,-0.091617703,0.273316846,0.37735424,-0.569937205,0.109024171,-0.359258256,0.241848788,0.600180074,-0.247102695,0.265060905
chr1,232299533,234359655,-0.809408611,0.432940859,-0.022640363,0.09854161,-0.482781678,-0.320229221,-0.39153204,-0.027582245,-0.112521431,0.847460364
chr1,234621024,236310627,-0.260691543,-0.669489446,0.468542841,-0.336011555,-0.341586939,0.313017217,0.43527496,0.19392724,0.27389388,-0.428653683
chr1,237179383,237230387,0.454229652,-0.409638498,0.549742506,0.72950621,1.147318385,-0.298828035,-0.092621032,-0.438494799,0.668319074,0.238445156
chr1,237366551,239069250,0.334641659,0.088980791,0.066793368,-0.279203114,-0.365746537,-0.384523354,0.348039669,0.447962298,0.363871977,0.398221529
chr1,239405631,245738688,-0.012773196,-0.07889642,0.304244947,1.061316164,0.634760201,-0.399979831,0.302688131,-0.012177366,-0.642544601,0.017277827
chr2,4471861,4795879,-0.709556485,0.453224199,-0.701819428,-0.431062113,0.069684541,-0.005955606,-0.497643271,-0.105030956,0.272522866,0.113734942
chr2,6092866,13608387,-0.743139281,0.81886588,-0.248650559,0.656118261,-0.413327083,0.286195281,0.383759167,0.671630433,0.405064485,0.859680887
chr2,14681630,18999676,-0.016355834,-0.566467571,-0.066510626,0.230684444,-1.059180459,0.497878246,-0.762205669,-0.331039634,0.263611968,0.001483729
chr2,21272571,21743658,0.127985122,0.101718055,0.581686461,-0.253785374,0.844561399,-0.374161581,0.312698994,-0.294579038,0.187864505,-0.832654274
chr2,22394578,22427281,-0.098365042,-0.333134402,0.188366626,-0.042588069,0.472774048,-0.23022781,-0.072236237,0.318269407,-0.240071486,-0.380505173
chr2,22982978,24779844,0.65663991,-0.330189497,1.097395374,0.444459294,-0.248402541,0.321217762,0.091414806,1.058012331,0.546190612,0.406319876
chr2,25172004,25958336,0.195403726,0.010768521,0.17339806,0.700897876,-0.26033109,1.261943141,-0.65260954,0.124116157,0.32404825,0.552581249
chr2,27001698,27821091,0.362973847,0.228418087,0.490241593,0.47013269,-0.439978777,0.530609376,0.171127863,-0.15949741,-0.792564956,0.312220344
chr2,37080736,39517084,0.270346407,-0.054101301,-0.630354999,0.245609569,-0.563683867,0.648519122,-0.025068548,0.263338472,-0.376573704,0.220351025
